n01440764 tench
n01443537 goldfish
n01484850 great
n01491361 tiger
n01494475 hammerhead
n01496331 electric
n01498041 stingray
n01514668 cock
n01514859 hen
n01518878 ostrich
n01530575 brambling
n01531178 goldfinch
n01532829 house
n01534433 junco
n01537544 indigo
n01558993 robin
n01560419 bulbul
n01580077 jay
n01582220 magpie
n01592084 chickadee
n01601694 water
n01608432 kite
n01614925 bald
n01616318 vulture
n01622779 great
n01629819 European
n01630670 common
n01631663 eft
n01632458 spotted
n01632777 axolotl
n01641577 bullfrog
n01644373 tree
n01644900 tailed
n01664065 loggerhead
n01665541 leatherback
n01667114 mud
n01667778 terrapin
n01669191 box
n01675722 banded
n01677366 common
n01682714 American
n01685808 whiptail
n01687978 agama
n01688243 frilled
n01689811 alligator
n01692333 Gila
n01693334 green
n01694178 African
n01695060 Komodo
n01697457 African
n01698640 American
n01704323 triceratops
n01728572 thunder
n01728920 ringneck
n01729322 hognose
n01729977 green
n01734418 king
n01735189 garter
n01737021 water
n01739381 vine
n01740131 night
n01742172 boa
n01744401 rock
n01748264 Indian
n01749939 green
n01751748 sea
n01753488 horned
n01755581 diamondback
n01756291 sidewinder
n01768244 trilobite
n01770081 harvestman
n01770393 scorpion
n01773157 black
n01773549 barn
n01773797 garden
n01774384 black
n01774750 tarantula
n01775062 wolf
n01776313 tick
n01784675 centipede
n01795545 black
n01796340 ptarmigan
n01797886 ruffed
n01798484 prairie
n01806143 peacock
n01806567 quail
n01807496 partridge
n01817953 African
n01818515 macaw
n01819313 sulphur-crested
n01820546 lorikeet
n01824575 coucal
n01828970 bee
n01829413 hornbill
n01833805 hummingbird
n01843065 jacamar
n01843383 toucan
n01847000 drake
n01855032 red-breasted
n01855672 goose
n01860187 black
n01871265 tusker
n01872401 echidna
n01873310 platypus
n01877812 wallaby
n01882714 koala
n01883070 wombat
n01910747 jellyfish
n01914609 sea
n01917289 brain
n01924916 flatworm
n01930112 nematode
n01943899 conch
n01944390 snail
n01945685 slug
n01950731 sea
n01955084 chiton
n01968897 chambered
n01978287 Dungeness
n01978455 rock
n01980166 fiddler
n01981276 king
n01983481 American
n01984695 spiny
n01985128 crayfish
n01986214 hermit
n01990800 isopod
n02002556 white
n02002724 black
n02006656 spoonbill
n02007558 flamingo
n02009229 little
n02009912 American
n02011460 bittern
n02012849 crane
n02013706 limpkin
n02017213 European
n02018207 American
n02018795 bustard
n02025239 ruddy
n02027492 red-backed
n02028035 redshank
n02033041 dowitcher
n02037110 oystercatcher
n02051845 pelican
n02056570 king
n02058221 albatross
n02066245 grey
n02071294 killer
n02074367 dugong
n02077923 sea
n02085620 Chihuahua
n02085782 Japanese
n02085936 Maltese
n02086079 Pekinese
n02086240 Shih-Tzu
n02086646 Blenheim
n02086910 papillon
n02087046 toy
n02087394 Rhodesian
n02088094 Afghan
n02088238 basset
n02088364 beagle
n02088466 bloodhound
n02088632 bluetick
n02089078 black-and-tan
n02089867 Walker
n02089973 English
n02090379 redbone
n02090622 borzoi
n02090721 Irish
n02091032 Italian
n02091134 whippet
n02091244 Ibizan
n02091467 Norwegian
n02091635 otterhound
n02091831 Saluki
n02092002 Scottish
n02092339 Weimaraner
n02093256 Staffordshire
n02093428 American
n02093647 Bedlington
n02093754 Border
n02093859 Kerry
n02093991 Irish
n02094114 Norfolk
n02094258 Norwich
n02094433 Yorkshire
n02095314 wire-haired
n02095570 Lakeland
n02095889 Sealyham
n02096051 Airedale
n02096177 cairn
n02096294 Australian
n02096437 Dandie
n02096585 Boston
n02097047 miniature
n02097130 giant
n02097209 standard
n02097298 Scotch
n02097474 Tibetan
n02097658 silky
n02098105 soft-coated
n02098286 West
n02098413 Lhasa
n02099267 flat-coated
n02099429 curly-coated
n02099601 golden
n02099712 Labrador
n02099849 Chesapeake
n02100236 German
n02100583 vizsla
n02100735 English
n02100877 Irish
n02101006 Gordon
n02101388 Brittany
n02101556 clumber
n02102040 English
n02102177 Welsh
n02102318 cocker
n02102480 Sussex
n02102973 Irish
n02104029 kuvasz
n02104365 schipperke
n02105056 groenendael
n02105162 malinois
n02105251 briard
n02105412 kelpie
n02105505 komondor
n02105641 Old
n02105855 Shetland
n02106030 collie
n02106166 Border
n02106382 Bouvier
n02106550 Rottweiler
n02106662 German
n02107142 Doberman
n02107312 miniature
n02107574 Greater
n02107683 Bernese
n02107908 Appenzeller
n02108000 EntleBucher
n02108089 boxer
n02108422 bull
n02108551 Tibetan
n02108915 French
n02109047 Great
n02109525 Saint
n02109961 Eskimo
n02110063 malamute
n02110185 Siberian
n02110341 dalmatian
n02110627 affenpinscher
n02110806 basenji
n02110958 pug
n02111129 Leonberg
n02111277 Newfoundland
n02111500 Great
n02111889 Samoyed
n02112018 Pomeranian
n02112137 chow
n02112350 keeshond
n02112706 Brabancon
n02113023 Pembroke
n02113186 Cardigan
n02113624 toy
n02113712 miniature
n02113799 standard
n02113978 Mexican
n02114367 timber
n02114548 white
n02114712 red
n02114855 coyote
n02115641 dingo
n02115913 dhole
n02116738 African
n02117135 hyena
n02119022 red
n02119789 kit
n02120079 Arctic
n02120505 grey
n02123045 tabby
n02123159 tiger
n02123394 Persian
n02123597 Siamese
n02124075 Egyptian
n02125311 cougar
n02127052 lynx
n02128385 leopard
n02128757 snow
n02128925 jaguar
n02129165 lion
n02129604 tiger
n02130308 cheetah
n02132136 brown
n02133161 American
n02134084 ice
n02134418 sloth
n02137549 mongoose
n02138441 meerkat
n02165105 tiger
n02165456 ladybug
n02167151 ground
n02168699 long-horned
n02169497 leaf
n02172182 dung
n02174001 rhinoceros
