epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,6.113353194908396,4.882,0.096,0.113,0.095,0.075
1,4.436297712631904,3.851,0.217,0.25,0.217,0.196
2,3.839287114603106,3.535,0.267,0.305,0.267,0.251
3,3.5707859736673244,3.307,0.303,0.34,0.303,0.288
4,3.422082855099028,3.182,0.323,0.363,0.324,0.309
5,3.3303604920863963,3.155,0.326,0.371,0.326,0.312
6,3.2662354785253362,3.116,0.338,0.38,0.338,0.326
7,3.2197063949656233,3.05,0.343,0.392,0.343,0.333
8,3.186791365696174,3.0,0.355,0.395,0.355,0.344
9,3.1559028294622653,3.058,0.347,0.388,0.347,0.333
10,3.1341848852679925,2.96,0.362,0.409,0.362,0.351
11,3.1146764506087434,2.894,0.371,0.414,0.371,0.361
12,3.094697884668157,2.973,0.358,0.402,0.358,0.348
13,3.085462973231928,2.91,0.37,0.412,0.37,0.359
14,3.0697829551851132,2.934,0.366,0.414,0.366,0.355
15,3.0601907101100543,2.908,0.37,0.41,0.37,0.358
16,3.0501439998242534,2.98,0.361,0.407,0.361,0.35
17,3.0417978622325235,2.901,0.375,0.42,0.375,0.364
18,3.03333463017573,2.868,0.376,0.416,0.376,0.365
19,3.026516561277597,2.841,0.381,0.424,0.381,0.372
20,3.0196515509793778,2.93,0.368,0.409,0.368,0.354
21,3.0175687664812147,2.865,0.376,0.418,0.376,0.367
22,3.0129539348443366,2.893,0.372,0.417,0.372,0.362
23,3.005770840836829,2.863,0.377,0.424,0.377,0.369
24,3.0002035472714375,2.882,0.378,0.427,0.378,0.368
25,2.997394985366099,2.829,0.383,0.428,0.383,0.373
26,2.995301682509103,2.873,0.378,0.427,0.378,0.368
27,2.988814561466366,2.863,0.38,0.416,0.38,0.367
28,2.9868260825808224,2.801,0.389,0.429,0.389,0.377
29,2.9821232276811314,2.817,0.386,0.43,0.386,0.375
30,2.3321418319623635,2.225,0.495,0.497,0.495,0.486
31,2.178782792319569,2.165,0.507,0.51,0.507,0.498
32,2.111937958063428,2.107,0.518,0.521,0.518,0.51
33,2.0653947578203975,2.099,0.52,0.523,0.52,0.51
34,2.032239377909529,2.103,0.519,0.527,0.519,0.512
35,2.0050964583906574,2.093,0.522,0.529,0.522,0.514
36,1.9834866330320868,2.087,0.523,0.53,0.523,0.514
37,1.9634541253584321,2.092,0.522,0.536,0.522,0.515
38,1.9480131969238472,2.064,0.526,0.538,0.526,0.519
39,1.9295630669877275,2.066,0.525,0.537,0.525,0.518
40,1.9167563051762477,2.059,0.529,0.537,0.529,0.521
41,1.9021910331456235,2.066,0.527,0.536,0.527,0.519
42,1.8891838531011063,2.053,0.53,0.539,0.53,0.522
43,1.8765478816610293,2.066,0.527,0.541,0.527,0.519
44,1.8662623152388407,2.059,0.529,0.544,0.529,0.523
45,1.8538486210779896,2.048,0.535,0.543,0.535,0.527
46,1.842668543639437,2.076,0.525,0.537,0.525,0.517
47,1.8334800373580098,2.072,0.529,0.536,0.529,0.52
48,1.8250303928853748,2.058,0.531,0.544,0.532,0.524
49,1.8126018274460465,2.074,0.527,0.541,0.527,0.521
50,1.802478437788635,2.075,0.531,0.545,0.531,0.524
51,1.7937190972528372,2.059,0.529,0.543,0.529,0.523
52,1.7873247025527252,2.069,0.534,0.545,0.534,0.527
53,1.778578797126581,2.053,0.532,0.543,0.532,0.525
54,1.7700648014511378,2.056,0.531,0.543,0.531,0.525
55,1.7625272656811475,2.062,0.529,0.54,0.529,0.521
56,1.755577491051263,2.063,0.529,0.54,0.529,0.522
57,1.7486713991880727,2.072,0.531,0.542,0.531,0.525
58,1.7412055292047575,2.06,0.531,0.542,0.531,0.523
59,1.7333932853814593,2.071,0.531,0.544,0.531,0.525
60,1.4911590897306861,1.947,0.56,0.559,0.56,0.554
61,1.4501868992945641,1.951,0.56,0.56,0.56,0.554
62,1.4302072115313198,1.949,0.56,0.559,0.56,0.554
63,1.420219970965483,1.95,0.56,0.559,0.56,0.553
64,1.4109248106433672,1.949,0.561,0.559,0.561,0.554
65,1.3991717071142071,1.952,0.561,0.559,0.561,0.554
66,1.3911810172093666,1.948,0.562,0.561,0.562,0.556
67,1.386127509458854,1.955,0.56,0.558,0.56,0.553
68,1.3809717085016322,1.958,0.561,0.561,0.561,0.554
69,1.3742813943851862,1.957,0.561,0.559,0.561,0.554
70,1.3677827871421058,1.956,0.56,0.559,0.56,0.554
71,1.3634093563829892,1.972,0.56,0.559,0.56,0.554
72,1.3564734271873495,1.958,0.561,0.559,0.561,0.554
73,1.3529082228639813,1.969,0.559,0.558,0.559,0.552
74,1.3482800388934073,1.966,0.561,0.56,0.561,0.555
75,1.3428479766366912,1.969,0.56,0.559,0.56,0.554
76,1.3386394519860219,1.97,0.558,0.557,0.558,0.552
77,1.333920219011485,1.986,0.557,0.558,0.557,0.551
78,1.3307038549062482,1.982,0.558,0.558,0.558,0.552
79,1.3249882470716998,1.979,0.559,0.559,0.559,0.553
80,1.3225838318132166,1.989,0.558,0.558,0.558,0.552
81,1.3188446477607885,1.986,0.558,0.557,0.558,0.551
82,1.3145103711314414,1.992,0.557,0.556,0.557,0.55
83,1.3103378284274072,1.985,0.558,0.558,0.558,0.552
84,1.3061695192550753,1.996,0.557,0.557,0.557,0.551
85,1.3021659589585564,2.0,0.557,0.557,0.557,0.551
86,1.3003911937565842,1.988,0.557,0.557,0.557,0.551
