epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,7.073396896806805,7.078,0.001,0.001,0.001,0.0
1,6.816313167920761,6.679,0.008,0.002,0.008,0.002
2,6.604461818171959,6.448,0.02,0.014,0.02,0.009
3,6.407693747359297,6.047,0.05,0.037,0.05,0.03
4,6.273163860145246,5.721,0.078,0.062,0.078,0.052
5,6.0820678853148955,5.393,0.113,0.094,0.113,0.082
6,5.994653590621462,5.171,0.14,0.125,0.14,0.108
7,5.808297205310763,4.879,0.177,0.159,0.177,0.145
8,5.728476382498886,4.682,0.206,0.193,0.206,0.175
9,5.531176730799469,4.408,0.249,0.237,0.249,0.219
10,5.388687024218351,4.176,0.287,0.276,0.287,0.261
11,5.302117256316053,3.986,0.32,0.309,0.32,0.295
12,5.229646431618122,3.849,0.344,0.337,0.344,0.321
13,5.005256703213477,3.632,0.387,0.38,0.387,0.366
14,5.314846858070691,3.744,0.365,0.363,0.365,0.343
15,4.790738446241731,3.418,0.428,0.423,0.428,0.41
16,4.687467192585167,3.223,0.468,0.463,0.468,0.451
17,4.795809258428483,3.181,0.476,0.472,0.476,0.459
18,4.530734227060066,3.009,0.513,0.508,0.513,0.498
19,5.650506064899854,3.948,0.339,0.364,0.339,0.317
20,4.59487413375643,3.153,0.484,0.482,0.484,0.468
21,4.308510770847754,2.86,0.544,0.542,0.544,0.531
22,4.5173931064655735,2.845,0.546,0.546,0.546,0.534
23,4.088948813160067,2.666,0.586,0.586,0.586,0.576
24,3.9842162344865737,2.559,0.61,0.61,0.61,0.6
25,3.887028572147551,2.473,0.629,0.63,0.629,0.62
26,3.8239253331231193,2.413,0.641,0.643,0.641,0.633
27,3.714583625262844,2.357,0.655,0.657,0.655,0.648
28,3.6212244985790547,2.306,0.665,0.667,0.665,0.658
29,3.554602194189713,2.263,0.674,0.677,0.674,0.668
30,3.47622468316095,2.23,0.683,0.687,0.683,0.677
31,3.407802625987002,2.204,0.689,0.693,0.689,0.684
32,3.364725629503515,2.186,0.693,0.696,0.693,0.688
33,3.3185257574823206,2.174,0.697,0.701,0.697,0.692
34,3.3224156515568817,2.168,0.698,0.702,0.698,0.693
35,6.949921077143704,7.188,0.001,0.0,0.001,0.0
36,6.8776933622163705,6.897,0.002,0.0,0.002,0.0
37,6.851746408641897,6.819,0.002,0.0,0.002,0.0
38,6.7989965635366145,6.746,0.004,0.0,0.004,0.0
39,6.7552058531131225,6.664,0.006,0.001,0.006,0.001
40,6.7118589959728805,6.586,0.01,0.002,0.01,0.002
41,6.690635051634393,6.536,0.012,0.004,0.012,0.003
42,6.6495497615295385,6.458,0.015,0.005,0.015,0.005
43,6.5726436972305455,6.346,0.023,0.009,0.023,0.009
44,6.495360815020347,6.209,0.031,0.016,0.031,0.014
45,6.4083844578636855,6.057,0.04,0.022,0.04,0.02
46,6.327555960579819,5.909,0.052,0.034,0.052,0.029
47,6.244416977984935,5.768,0.062,0.042,0.062,0.037
48,6.139672895369346,5.603,0.077,0.054,0.077,0.048
49,6.015825740975716,5.399,0.1,0.078,0.1,0.069
50,5.977813323582992,5.252,0.117,0.098,0.117,0.085
51,5.809141017489328,5.023,0.148,0.134,0.148,0.114
52,5.897010284508155,5.082,0.144,0.136,0.144,0.113
53,5.596386502181247,4.71,0.195,0.182,0.195,0.163
54,5.429991707260486,4.435,0.234,0.222,0.234,0.204
55,5.287670906084045,4.186,0.275,0.263,0.275,0.247
56,5.191366380374947,4.0,0.309,0.298,0.309,0.282
57,4.982072200896634,3.764,0.355,0.344,0.355,0.331
58,4.812596692946038,3.54,0.398,0.391,0.398,0.377
59,4.685682164671359,3.354,0.434,0.427,0.434,0.414
60,4.561112777371226,3.194,0.464,0.461,0.464,0.447
61,4.466237918550757,3.071,0.491,0.486,0.491,0.475
62,4.29203283635808,2.935,0.519,0.517,0.519,0.505
63,4.201847050993038,2.83,0.541,0.54,0.541,0.529
64,4.10794933807899,2.736,0.561,0.562,0.561,0.55
65,4.017475105359251,2.658,0.578,0.58,0.578,0.568
66,3.937296516665719,2.589,0.593,0.595,0.593,0.584
67,3.861160701774577,2.532,0.605,0.607,0.605,0.597
68,3.8014511418369388,2.482,0.617,0.618,0.617,0.609
69,3.737633463870992,2.442,0.626,0.629,0.626,0.618
70,3.6960758810232712,2.407,0.635,0.638,0.635,0.628
71,3.650618693720495,2.378,0.642,0.644,0.642,0.635
72,3.6177283266324056,2.355,0.647,0.649,0.647,0.64
73,3.5782015018670377,2.335,0.653,0.656,0.653,0.647
74,3.5563779646379308,2.323,0.655,0.658,0.655,0.649
75,3.5238543366438977,2.311,0.658,0.661,0.658,0.652
76,3.5261882585995026,2.303,0.661,0.664,0.661,0.655
77,3.49738796415647,2.298,0.662,0.665,0.662,0.656
78,3.503287454444668,2.296,0.663,0.665,0.663,0.657
79,3.474786540737488,2.295,0.663,0.665,0.663,0.657
80,6.91151384696303,7.032,0.001,0.0,0.001,0.0
81,6.857223259942636,6.852,0.002,0.0,0.002,0.0
82,6.824623034553342,6.783,0.004,0.0,0.004,0.0
83,6.787641621850858,6.717,0.006,0.001,0.006,0.001
84,6.74458666780371,6.652,0.008,0.001,0.008,0.001
85,6.698383961888725,6.565,0.011,0.004,0.011,0.003
86,6.658054703654936,6.485,0.016,0.007,0.016,0.006
87,6.616491843752756,6.411,0.021,0.01,0.021,0.008
88,6.563945488377697,6.306,0.027,0.012,0.027,0.012
89,6.509974334891167,6.195,0.033,0.018,0.033,0.015
90,6.460144335788571,6.084,0.042,0.026,0.042,0.021
91,6.359435852568174,5.916,0.054,0.033,0.054,0.03
92,6.281666250789867,5.744,0.069,0.049,0.069,0.042
93,6.232034371827327,5.637,0.08,0.068,0.08,0.052
94,6.118547305439063,5.467,0.099,0.075,0.099,0.068
95,6.0061579976201545,5.281,0.118,0.095,0.118,0.085
96,5.925661977144072,5.106,0.142,0.122,0.142,0.109
97,5.792952864730166,4.901,0.17,0.156,0.17,0.137
98,5.756699312702463,4.81,0.186,0.177,0.186,0.154
99,5.545532953484579,4.541,0.222,0.212,0.222,0.191
100,5.475232906545222,4.344,0.254,0.243,0.254,0.225
101,5.38594441638988,4.174,0.281,0.271,0.281,0.253
102,5.230583241728192,3.979,0.316,0.308,0.316,0.29
103,5.108825754127774,3.801,0.348,0.34,0.348,0.323
104,4.975490866086152,3.627,0.381,0.375,0.381,0.359
105,5.135349323348456,3.708,0.368,0.365,0.368,0.344
106,4.74120499824218,3.42,0.421,0.416,0.421,0.401
107,5.071135924611926,3.48,0.411,0.411,0.411,0.391
108,4.5946804476481065,3.222,0.461,0.458,0.461,0.444
109,4.599748194106021,3.113,0.484,0.482,0.484,0.468
110,4.456556195737539,2.989,0.512,0.51,0.512,0.497
111,4.413825914930341,2.902,0.529,0.531,0.529,0.516
112,5.039072956150951,3.198,0.467,0.474,0.467,0.451
113,4.287258797524439,2.883,0.531,0.531,0.531,0.517
114,4.501643566372422,2.873,0.533,0.536,0.533,0.52
115,4.146875505350913,2.713,0.567,0.568,0.567,0.556
116,4.101964037692605,2.628,0.585,0.587,0.585,0.575
117,4.060016686266931,2.567,0.599,0.601,0.599,0.59
118,4.881579260238327,3.436,0.431,0.469,0.431,0.41
119,4.369083284876149,2.869,0.537,0.543,0.537,0.524
120,3.9982318725957544,2.584,0.597,0.598,0.597,0.587
121,3.919588658263863,2.482,0.619,0.621,0.619,0.61
122,4.396097694795737,2.735,0.564,0.574,0.564,0.553
123,3.950791561884932,2.52,0.61,0.613,0.61,0.601
124,3.8541949840554945,2.429,0.631,0.634,0.631,0.623
125,3.7564314151176488,2.358,0.648,0.65,0.648,0.64
126,3.7769707519849973,2.32,0.656,0.658,0.656,0.649
127,3.6673810036274412,2.278,0.667,0.67,0.667,0.66
