epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score,eval_iou_score,eval_dice_score,eval_kappa_score
0,0.25808684277690697,0.304,0.296,0.015,0.012,0.01,0.006,0.01,0.001
25,0.24797298447408214,0.305,0.329,0.015,0.012,0.01,0.006,0.01,0.001
50,0.24433263134360803,0.305,0.335,0.015,0.012,0.01,0.006,0.01,0.0
75,0.2410213102652927,0.304,0.334,0.017,0.012,0.01,0.007,0.01,0.001
100,0.23906183305038575,0.304,0.342,0.016,0.012,0.01,0.007,0.01,0.001
125,0.2372771300662257,0.304,0.348,0.016,0.012,0.01,0.007,0.01,0.001
150,0.23545481531860202,0.305,0.348,0.016,0.012,0.01,0.007,0.01,0.001
175,0.2339140730959582,0.304,0.351,0.016,0.012,0.01,0.007,0.01,0.001
200,0.23297948456757583,0.305,0.351,0.014,0.012,0.01,0.007,0.01,0.001
225,0.231939707766001,0.305,0.353,0.014,0.012,0.01,0.007,0.01,0.001
250,0.23037741681672236,0.305,0.356,0.014,0.012,0.01,0.007,0.01,0.001
275,0.23005245610107466,0.305,0.358,0.013,0.012,0.01,0.007,0.01,0.001
300,0.22931913204070098,0.305,0.358,0.013,0.012,0.01,0.007,0.01,1.716
325,0.22841931736732876,0.305,0.36,0.013,0.012,0.01,0.007,0.01,1.483
350,0.22810170397369905,0.305,0.362,0.013,0.012,0.01,0.007,0.01,1.301
375,0.2277740226794617,0.305,0.363,0.013,0.012,0.01,0.007,0.01,1.145
400,0.22740645932428766,0.305,0.364,0.013,0.012,0.01,0.007,0.01,1.017
425,0.22715107681661428,0.305,0.365,0.013,0.012,0.011,0.007,0.011,0.91
450,0.22700478707689617,0.305,0.366,0.013,0.012,0.011,0.007,0.011,0.82
475,0.22641636709469834,0.305,0.368,0.013,0.012,0.011,0.007,0.011,0.745
