epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,7.238340512632752,7.241,0.001,0.0,0.001,0.0
1,6.6454634842969815,6.06,0.036,0.027,0.036,0.019
2,6.5053911964884765,6.059,0.036,0.024,0.036,0.019
3,6.832325191556407,6.058,0.037,0.027,0.037,0.019
4,6.744155497573834,6.058,0.036,0.025,0.036,0.018
5,6.753072699268373,6.057,0.035,0.023,0.035,0.018
6,6.737022838075098,6.059,0.036,0.026,0.036,0.018
7,6.646579315229285,6.057,0.037,0.022,0.037,0.019
8,6.594964478477586,6.057,0.036,0.025,0.036,0.019
9,6.545163960551187,6.058,0.036,0.025,0.036,0.018
10,6.491628319846926,6.056,0.037,0.025,0.037,0.019
11,6.438333677266427,6.055,0.036,0.023,0.036,0.018
12,6.361204439037138,6.055,0.036,0.027,0.036,0.019
13,6.268685300358765,6.056,0.037,0.027,0.037,0.019
14,6.187278963071551,6.055,0.036,0.028,0.036,0.019
15,6.128536076711522,6.055,0.036,0.026,0.036,0.018
