epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,9.065369324508348,4.151,0.164,0.191,0.164,0.141
1,6.696539810718815,3.406,0.275,0.324,0.275,0.255
2,5.77935079185264,3.012,0.338,0.393,0.338,0.328
3,5.340471435824717,2.748,0.384,0.432,0.384,0.372
4,5.076130943182096,2.723,0.387,0.445,0.387,0.374
5,4.8972605778056435,2.792,0.378,0.447,0.378,0.37
6,4.770930370211137,2.456,0.439,0.483,0.439,0.429
7,4.67960391531506,2.475,0.433,0.486,0.433,0.423
8,4.61001655531163,2.474,0.437,0.494,0.437,0.427
9,4.560100890716147,2.458,0.441,0.497,0.441,0.434
10,4.507474038017083,2.272,0.473,0.515,0.473,0.465
11,4.471276989372856,2.334,0.459,0.517,0.459,0.451
12,4.441181371399948,2.394,0.454,0.508,0.454,0.448
13,4.414456005207915,2.395,0.453,0.52,0.453,0.449
14,4.391901802690323,2.399,0.453,0.511,0.453,0.444
15,4.370614911640711,2.258,0.478,0.523,0.478,0.469
16,4.356423019541049,2.324,0.465,0.525,0.465,0.459
17,4.342984074180878,2.297,0.472,0.524,0.472,0.464
18,4.326611191233813,2.25,0.481,0.526,0.481,0.473
19,4.311262428778394,2.282,0.477,0.528,0.477,0.472
20,4.3026788677294086,2.248,0.477,0.53,0.477,0.469
21,4.287683675667661,2.209,0.485,0.537,0.485,0.477
22,4.282144573854631,2.247,0.48,0.527,0.48,0.469
23,4.271592804334871,2.258,0.479,0.531,0.478,0.472
24,4.265051672777604,2.233,0.484,0.534,0.484,0.477
25,4.256393044749296,2.427,0.446,0.503,0.446,0.438
26,4.249455549629052,2.248,0.482,0.537,0.482,0.478
27,4.243604660296204,2.245,0.481,0.533,0.481,0.474
28,4.23758105896298,2.315,0.467,0.524,0.467,0.462
29,4.229704260147229,2.282,0.475,0.535,0.475,0.47
30,3.416691068312376,1.599,0.614,0.618,0.614,0.607
31,3.235712283069002,1.562,0.623,0.629,0.623,0.617
32,3.16182486317067,1.539,0.626,0.631,0.626,0.62
33,3.1131563748092796,1.522,0.631,0.637,0.631,0.625
34,3.088450752899165,1.508,0.633,0.64,0.633,0.628
35,3.067974066231703,1.529,0.629,0.639,0.629,0.624
36,3.056324894724341,1.515,0.635,0.645,0.635,0.63
37,3.050919825933782,1.506,0.634,0.641,0.634,0.629
38,3.0496849558048282,1.533,0.63,0.639,0.63,0.624
39,3.04892566530649,1.538,0.628,0.639,0.628,0.623
40,3.052040798750561,1.563,0.624,0.635,0.624,0.618
41,3.0522721483343216,1.542,0.627,0.637,0.627,0.623
42,3.055997187589382,1.52,0.632,0.644,0.632,0.628
43,3.052128809626756,1.523,0.631,0.643,0.631,0.627
44,3.0563466620857347,1.519,0.632,0.64,0.632,0.627
45,3.054247334020361,1.529,0.628,0.641,0.628,0.625
46,3.053980406662934,1.538,0.629,0.639,0.628,0.624
47,3.053427207456839,1.541,0.627,0.639,0.627,0.622
48,3.05338880708256,1.531,0.629,0.641,0.629,0.625
49,3.051174272820599,1.532,0.629,0.642,0.629,0.624
50,3.05212756186554,1.519,0.632,0.642,0.632,0.627
