epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,7.424628403032203,4.188,0.158,0.198,0.158,0.135
1,5.559916037048942,3.527,0.253,0.337,0.253,0.241
2,4.999950741677032,3.194,0.305,0.392,0.305,0.289
3,4.752906442921244,3.196,0.31,0.408,0.31,0.299
4,4.627432645867905,3.133,0.326,0.421,0.326,0.313
5,4.546978669913812,3.1,0.328,0.427,0.328,0.316
6,4.494863121412365,2.934,0.35,0.44,0.35,0.337
7,4.456266150034823,2.919,0.355,0.446,0.355,0.342
8,4.422886718342576,2.932,0.354,0.45,0.354,0.342
9,4.401405984281791,2.941,0.351,0.444,0.351,0.34
10,4.386900937513152,2.872,0.368,0.445,0.368,0.352
11,4.366681137038749,2.803,0.376,0.46,0.376,0.363
12,4.351651926613054,2.88,0.362,0.448,0.362,0.352
13,4.3433604902327385,2.829,0.374,0.456,0.374,0.359
14,4.33246912047727,2.874,0.367,0.446,0.367,0.352
15,4.326400593392129,2.838,0.368,0.458,0.369,0.358
16,4.316572713576803,2.8,0.381,0.449,0.381,0.367
17,4.309449343762801,2.742,0.384,0.463,0.384,0.374
18,4.300286898521029,2.823,0.373,0.459,0.373,0.362
19,4.297258380719719,2.959,0.349,0.442,0.349,0.342
20,4.291106309122776,2.807,0.376,0.463,0.376,0.365
21,4.291831767628131,2.739,0.391,0.462,0.391,0.376
22,4.28852058351427,2.868,0.37,0.453,0.37,0.359
23,4.284700832764506,2.804,0.375,0.46,0.375,0.365
24,4.28338660664677,2.779,0.379,0.459,0.379,0.367
25,4.279753512412664,2.779,0.385,0.472,0.385,0.374
26,4.2754914139174405,2.822,0.375,0.457,0.375,0.362
27,4.273332267978806,2.821,0.372,0.456,0.372,0.359
28,4.2688752508435,2.757,0.389,0.463,0.389,0.376
29,4.270182140146963,2.818,0.377,0.467,0.377,0.366
30,3.1620396585901105,1.751,0.579,0.589,0.579,0.571
31,2.919935901037688,1.699,0.592,0.604,0.592,0.585
32,2.8693104678576424,1.684,0.594,0.607,0.594,0.587
33,2.8514526070313613,1.682,0.596,0.61,0.596,0.589
34,2.8389916377910094,1.694,0.595,0.611,0.595,0.588
35,2.8192028516310055,1.684,0.596,0.609,0.596,0.589
36,2.799728084725926,1.685,0.597,0.615,0.597,0.59
37,2.7813375265028513,1.845,0.567,0.601,0.567,0.564
38,2.763988441092495,1.637,0.603,0.619,0.603,0.596
39,2.7418440538890736,1.658,0.602,0.621,0.602,0.596
40,2.727191654818079,1.66,0.599,0.616,0.599,0.592
41,2.713236699819279,1.631,0.607,0.624,0.607,0.601
42,2.700327650309562,1.643,0.607,0.626,0.607,0.601
43,2.687665720689379,1.659,0.605,0.623,0.605,0.599
44,2.67735362765148,1.594,0.616,0.635,0.616,0.61
45,2.666685285327889,1.621,0.61,0.626,0.61,0.603
46,2.659145632792048,1.609,0.613,0.631,0.613,0.607
47,2.6505415323421615,1.604,0.614,0.634,0.614,0.609
48,2.6450776370395395,1.6,0.613,0.631,0.613,0.606
49,2.634403868856124,1.624,0.608,0.627,0.608,0.602
50,2.6289562831714397,1.605,0.614,0.631,0.614,0.607
51,2.621071695694855,1.641,0.607,0.63,0.607,0.602
52,2.6151727325332215,1.594,0.616,0.637,0.616,0.611
53,2.6101622693318802,1.587,0.616,0.635,0.616,0.611
54,2.6055414268682022,1.62,0.61,0.633,0.61,0.605
55,2.6012618835750834,1.563,0.622,0.642,0.622,0.618
56,2.5941762804258524,1.567,0.622,0.644,0.622,0.618
