epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,4.760858965391688,4.227,0.181,0.291,0.181,0.168
1,3.1466645542493126,3.334,0.307,0.408,0.307,0.3
2,2.7102992901114606,3.102,0.351,0.436,0.351,0.342
3,2.4800230300394324,2.557,0.436,0.478,0.436,0.427
4,2.3299005165813758,2.418,0.461,0.495,0.461,0.452
5,2.2180606332831907,2.315,0.478,0.518,0.478,0.474
6,2.1313132522870566,2.184,0.501,0.527,0.501,0.494
7,2.0580554495015955,2.182,0.502,0.539,0.502,0.496
8,1.9978500905362313,2.084,0.522,0.549,0.522,0.517
9,1.945661420254741,2.055,0.527,0.553,0.527,0.523
10,1.9013389434022663,6.896,0.009,0.08,0.009,0.012
11,1.8608889985792,1.976,0.54,0.565,0.54,0.535
12,1.8306418241755638,34.904,0.001,0.0,0.001,0.0
