epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,6.222541454089362,5.774,0.021,0.02,0.022,0.011
1,5.839748926652241,5.598,0.032,0.03,0.032,0.019
2,5.755892919716919,5.599,0.038,0.029,0.038,0.021
3,5.723894024895746,5.437,0.044,0.045,0.044,0.026
4,5.706462461307908,5.634,0.031,0.04,0.031,0.018
5,5.6875347555867295,5.522,0.041,0.038,0.041,0.023
6,5.674599805562494,5.631,0.037,0.037,0.037,0.023
7,5.665562556128504,5.676,0.032,0.032,0.032,0.018
8,5.6565672066560975,5.405,0.045,0.046,0.045,0.028
9,5.647299049194496,5.508,0.038,0.049,0.038,0.023
10,5.636707442759931,5.327,0.052,0.048,0.052,0.033
11,5.627158607441461,5.357,0.048,0.049,0.048,0.03
12,5.617545143197475,5.496,0.046,0.042,0.046,0.026
13,5.6083632186898225,5.69,0.036,0.039,0.036,0.023
14,5.600181401218087,5.409,0.042,0.041,0.042,0.024
15,5.593067344166715,5.665,0.041,0.041,0.041,0.025
16,5.589272637901435,5.377,0.053,0.053,0.053,0.033
17,5.58325092377132,5.407,0.045,0.051,0.045,0.029
18,5.574816732488799,5.415,0.049,0.052,0.049,0.032
19,5.570110306144877,5.347,0.048,0.054,0.048,0.032
