epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,4.988165189233952,3.675,0.242,0.335,0.242,0.227
1,3.076939338778554,3.004,0.344,0.447,0.344,0.336
2,2.6746867748809415,2.877,0.372,0.483,0.372,0.367
3,2.527072084082246,2.744,0.391,0.501,0.391,0.386
4,2.4451280733257255,2.647,0.412,0.509,0.412,0.407
5,2.4004431473278642,2.616,0.415,0.518,0.415,0.409
6,2.368316924516013,2.608,0.413,0.511,0.413,0.407
7,2.343275723560717,2.619,0.419,0.522,0.419,0.412
8,2.3295871345941355,2.514,0.439,0.523,0.439,0.429
9,2.317079511028461,2.673,0.404,0.514,0.404,0.403
10,2.306731436764495,2.513,0.434,0.523,0.434,0.427
11,2.3004818667969107,2.541,0.433,0.524,0.433,0.426
12,2.2941795130664024,2.533,0.431,0.533,0.431,0.425
13,2.2896958581752647,2.605,0.417,0.516,0.417,0.413
14,2.2865187547306687,2.473,0.444,0.534,0.444,0.438
15,2.2831823797608983,2.545,0.431,0.534,0.431,0.431
16,2.282279304464043,2.628,0.42,0.516,0.42,0.415
17,2.2793368151797937,2.551,0.429,0.529,0.429,0.425
18,2.277879205304124,2.527,0.432,0.527,0.432,0.424
19,2.277667478547252,2.521,0.433,0.529,0.433,0.43
20,2.2753829914011647,2.693,0.405,0.529,0.405,0.404
21,2.2759920798740088,2.651,0.417,0.522,0.417,0.417
22,2.2738573869061476,2.6,0.419,0.524,0.419,0.414
23,2.2746454995047,2.548,0.426,0.529,0.426,0.424
24,2.274042150889473,2.501,0.436,0.528,0.437,0.431
25,2.2732986086898186,2.513,0.437,0.534,0.437,0.434
26,2.276546943508098,2.585,0.422,0.528,0.422,0.417
27,2.2755456815317134,2.55,0.428,0.534,0.428,0.424
28,2.275077096475494,2.442,0.45,0.541,0.45,0.446
29,2.275263724430468,2.487,0.438,0.536,0.438,0.436
30,1.4100851116390993,1.439,0.647,0.659,0.647,0.642
31,1.2582511326949644,1.423,0.651,0.667,0.651,0.647
32,1.2356821226185168,1.406,0.653,0.67,0.653,0.649
33,1.2378624286229036,1.446,0.645,0.666,0.645,0.641
34,1.2375257275213263,1.437,0.646,0.667,0.646,0.642
35,1.232607585145277,1.487,0.636,0.662,0.636,0.633
36,1.223426642141829,1.437,0.646,0.671,0.646,0.642
37,1.2133364256016201,1.447,0.648,0.672,0.648,0.643
38,1.2016467462887546,1.438,0.648,0.671,0.648,0.645
39,1.1922119663977482,1.438,0.647,0.672,0.647,0.644
40,1.1828184636314023,1.405,0.654,0.676,0.654,0.651
41,1.174902141284771,1.416,0.654,0.676,0.654,0.65
42,1.1675340779619219,1.43,0.651,0.676,0.651,0.648
43,1.1612903471801268,1.413,0.656,0.677,0.656,0.651
44,1.1558717292128582,1.403,0.66,0.682,0.66,0.656
45,1.1498977839202358,1.409,0.653,0.676,0.653,0.649
46,1.1443609492826299,1.441,0.646,0.673,0.646,0.643
47,1.1411431400416698,1.403,0.659,0.679,0.659,0.655
48,1.1364658991021346,1.424,0.652,0.68,0.652,0.648
49,1.1318069961502997,1.422,0.654,0.678,0.654,0.651
50,1.1291840799321826,1.4,0.658,0.679,0.658,0.654
51,1.1249152360554162,1.394,0.658,0.679,0.658,0.655
52,1.1197639018407366,1.41,0.655,0.682,0.655,0.652
53,1.1190132209635695,1.426,0.653,0.68,0.653,0.649
54,1.1165295633843686,1.387,0.664,0.686,0.664,0.661
55,1.112873535484555,1.403,0.661,0.682,0.661,0.658
56,1.111141460718886,1.408,0.658,0.682,0.658,0.655
57,1.1067141561670037,1.401,0.663,0.683,0.663,0.658
58,1.1059481474885526,1.42,0.656,0.682,0.656,0.653
59,1.1031365422462176,1.438,0.654,0.678,0.654,0.651
60,0.7507265475406931,1.082,0.731,0.735,0.731,0.728
61,0.6619168404437277,1.06,0.735,0.739,0.735,0.732
62,0.6202877315057361,1.052,0.739,0.743,0.739,0.736
63,0.5899427695783633,1.053,0.74,0.744,0.74,0.737
64,0.5656900555044279,1.05,0.74,0.744,0.74,0.737
65,0.5437847718831685,1.053,0.739,0.744,0.739,0.737
66,0.5240524979683233,1.053,0.741,0.746,0.742,0.739
67,0.5058593936789308,1.063,0.739,0.744,0.739,0.737
68,0.48898223009660585,1.064,0.739,0.744,0.739,0.737
69,0.47457229553349,1.072,0.739,0.744,0.739,0.736
70,0.4615293700247631,1.081,0.737,0.742,0.737,0.735
71,0.4480685697036054,1.087,0.737,0.742,0.737,0.735
72,0.43670950568404776,1.089,0.738,0.743,0.738,0.736
73,0.42616235319767304,1.095,0.737,0.741,0.737,0.734
74,0.4181246891761442,1.113,0.736,0.741,0.736,0.733
75,0.4081804825560424,1.115,0.733,0.74,0.733,0.731
76,0.4010974953846386,1.127,0.733,0.738,0.733,0.731
77,0.395327247302201,1.139,0.733,0.738,0.733,0.73
78,0.3880169150833692,1.141,0.731,0.736,0.731,0.729
79,0.3832371063565431,1.148,0.729,0.735,0.729,0.727
80,0.37906921816062455,1.162,0.727,0.733,0.727,0.724
81,0.3749067789913772,1.17,0.729,0.735,0.729,0.727
