epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,7.092106927498925,7.09,0.001,0.0,0.001,0.0
1,7.020001469613265,7.089,0.001,0.0,0.001,0.0
2,6.900138996702304,7.09,0.001,0.0,0.001,0.0
3,6.8416514467421194,7.09,0.001,0.0,0.001,0.0
4,6.7468861708824015,7.09,0.001,0.0,0.001,0.0
5,6.580015820350578,7.09,0.001,0.0,0.001,0.0
6,6.34906391638646,7.09,0.001,0.0,0.001,0.0
7,6.138551889706573,7.09,0.001,0.0,0.001,0.0
8,5.879674605256934,7.089,0.001,0.0,0.001,0.0
9,5.594635381115427,7.089,0.001,0.0,0.001,0.0
10,5.363581884607709,7.089,0.001,0.0,0.001,0.0
11,5.117639504355206,7.089,0.001,0.0,0.001,0.0
12,4.964762352817922,7.09,0.001,0.0,0.001,0.0
13,4.817171454608298,7.089,0.001,0.0,0.001,0.0
14,4.660639146677882,7.089,0.001,0.0,0.001,0.0
15,4.5627675403079255,7.089,0.001,0.0,0.001,0.0
16,4.455771648376394,7.09,0.001,0.0,0.001,0.0
17,4.364939356200415,7.09,0.001,0.0,0.001,0.0
18,4.2918206628063595,7.09,0.001,0.0,0.001,0.0
19,4.191387395850189,7.089,0.001,0.0,0.001,0.0
20,4.1535575857622735,7.09,0.001,0.0,0.001,0.0
21,4.094818355010854,7.09,0.001,0.0,0.001,0.0
22,4.043898422583688,7.09,0.001,0.0,0.001,0.0
23,3.9838208905298362,7.089,0.001,0.0,0.001,0.0
24,3.9270479112363263,7.089,0.001,0.0,0.001,0.0
25,3.911580214504715,7.09,0.001,0.0,0.001,0.0
26,3.877350929651043,7.09,0.001,0.0,0.001,0.0
27,3.842933894382964,7.089,0.001,0.0,0.001,0.0
28,3.784297410354054,7.09,0.001,0.0,0.001,0.0
29,3.80059630068229,7.089,0.001,0.0,0.001,0.0
30,3.751351285109417,7.089,0.001,0.0,0.001,0.0
31,3.7293596523199724,7.089,0.001,0.0,0.001,0.0
32,3.700678851571586,2.658,0.599,0.643,0.599,0.596
33,3.671340826461069,2.658,0.6,0.642,0.6,0.595
34,3.669312289328598,2.659,0.6,0.643,0.6,0.596
35,3.6649279264594727,2.659,0.599,0.642,0.599,0.595
36,3.6337970547395932,2.657,0.601,0.644,0.601,0.597
37,3.609601830692886,2.659,0.6,0.643,0.6,0.596
38,3.5872664033508985,2.656,0.6,0.643,0.6,0.596
39,3.560975364000677,2.658,0.6,0.643,0.6,0.597
40,3.580578922546453,2.658,0.6,0.644,0.6,0.596
41,3.552476766458947,2.658,0.601,0.644,0.601,0.597
42,3.543265547397897,2.657,0.6,0.643,0.6,0.596
43,3.536141343111043,2.658,0.6,0.645,0.6,0.597
44,3.5120406843703997,2.657,0.6,0.643,0.599,0.596
45,3.498806386364164,2.659,0.6,0.644,0.6,0.597
46,3.4994592342338118,2.657,0.6,0.644,0.6,0.597
47,3.482200664742816,2.658,0.601,0.644,0.601,0.597
48,3.4850896454865126,2.658,0.602,0.644,0.601,0.598
49,3.489695501413277,2.657,0.6,0.643,0.6,0.597
50,3.466085357292236,2.657,0.601,0.644,0.601,0.597
51,3.4442094475281038,2.658,0.6,0.644,0.6,0.597
52,3.455590750173413,2.659,0.6,0.644,0.6,0.596
53,3.4312353946214955,2.657,0.6,0.643,0.6,0.596
54,3.4188952490830307,2.658,0.6,0.644,0.6,0.596
55,3.4224183932125425,2.659,0.601,0.644,0.601,0.597
56,3.4138910729500602,2.656,0.6,0.644,0.6,0.597
57,3.3872587478025067,2.658,0.6,0.643,0.6,0.596
58,3.391240131726368,2.655,0.6,0.644,0.6,0.596
59,3.3930753684587045,2.658,0.6,0.644,0.6,0.597
60,3.3806141694422536,2.657,0.6,0.644,0.6,0.596
61,3.3626054172321473,2.658,0.601,0.645,0.601,0.598
62,3.36337105895904,2.659,0.6,0.643,0.6,0.596
63,3.362759298164782,2.656,0.601,0.644,0.601,0.598
64,3.35570466198581,2.657,0.6,0.644,0.6,0.596
65,3.352111159254321,2.658,0.6,0.644,0.599,0.596
66,3.348929911851883,2.659,0.6,0.643,0.6,0.596
67,3.3419961920030397,2.658,0.601,0.644,0.601,0.597
68,3.3444007074446986,2.658,0.6,0.643,0.6,0.596
