epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,7.093435103015648,7.095,0.001,0.0,0.001,0.0
1,6.714740902113972,6.172,0.025,0.015,0.025,0.01
2,6.217250086849542,5.51,0.074,0.086,0.074,0.054
3,5.8211562507015335,5.135,0.118,0.163,0.118,0.095
4,5.473978407663121,4.716,0.176,0.235,0.176,0.148
5,5.230368098302139,4.28,0.239,0.329,0.239,0.219
6,4.951377337928013,4.177,0.26,0.357,0.26,0.241
7,4.746455259174466,3.703,0.351,0.424,0.351,0.334
8,4.561614153410891,3.682,0.357,0.429,0.356,0.341
9,4.395353321798986,3.385,0.416,0.483,0.416,0.404
10,4.261375493640236,3.244,0.447,0.501,0.447,0.436
11,4.145053771831435,3.084,0.482,0.521,0.482,0.471
12,4.0267796469964,2.951,0.513,0.539,0.513,0.503
13,3.960557322886636,2.87,0.535,0.554,0.535,0.525
14,3.873793439685012,2.791,0.548,0.568,0.548,0.539
15,3.8142801834453497,2.708,0.57,0.582,0.57,0.561
16,3.7484520526526928,2.661,0.582,0.593,0.582,0.574
17,3.6991641811972897,2.625,0.59,0.599,0.59,0.581
18,3.6922943010318767,2.611,0.596,0.602,0.596,0.588
19,3.6593579597395958,2.594,0.599,0.604,0.599,0.591
20,4.0305995320459065,2.988,0.501,0.553,0.501,0.494
21,3.9774866089117613,3.035,0.492,0.551,0.492,0.486
22,3.902592603394168,2.892,0.526,0.568,0.526,0.517
23,3.856816804773516,2.832,0.544,0.579,0.544,0.535
24,3.78915132210552,2.776,0.554,0.592,0.554,0.548
25,3.756021881453711,2.696,0.571,0.599,0.571,0.565
26,3.7285613198574783,2.673,0.579,0.61,0.579,0.573
27,3.6718189058472497,2.624,0.587,0.619,0.587,0.581
