epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,5.568611527194342,5.298,0.099,0.139,0.099,0.076
1,4.9530744126465,5.435,0.09,0.167,0.09,0.075
2,4.822035951945007,5.051,0.123,0.2,0.123,0.101
3,4.778649635362106,5.207,0.114,0.188,0.115,0.096
4,4.762590405049887,5.037,0.134,0.201,0.134,0.114
5,4.75296117230626,4.995,0.127,0.204,0.127,0.109
6,4.74661502007755,4.984,0.134,0.209,0.134,0.115
7,4.731854056618838,4.989,0.131,0.217,0.131,0.113
8,4.730117105987477,4.846,0.152,0.218,0.152,0.13
9,4.727282577359435,5.187,0.122,0.198,0.122,0.103
10,4.726513485580263,5.006,0.129,0.196,0.129,0.109
11,4.723920823215473,5.121,0.118,0.195,0.118,0.097
12,4.716706839685901,5.092,0.121,0.208,0.121,0.104
13,4.713345931798074,5.037,0.129,0.195,0.129,0.104
14,4.713187457857962,4.84,0.151,0.227,0.151,0.13
15,4.711763925802006,4.902,0.135,0.215,0.135,0.118
16,4.714323434287559,4.976,0.131,0.211,0.131,0.114
17,4.7134146088903055,4.877,0.143,0.202,0.143,0.12
18,4.712574026839266,5.119,0.125,0.198,0.125,0.106
19,4.714143360181579,5.132,0.117,0.195,0.117,0.102
20,4.715411616069642,5.112,0.126,0.214,0.126,0.108
