epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,6.282541621182751,5.086,0.075,0.075,0.075,0.052
1,4.582600926385796,3.983,0.201,0.235,0.201,0.18
2,3.945034530139229,3.521,0.272,0.307,0.272,0.254
3,3.6844104124313706,3.372,0.291,0.338,0.291,0.279
4,3.5421402208549493,3.278,0.31,0.358,0.31,0.298
5,3.4537026603472722,3.168,0.327,0.371,0.327,0.312
6,3.3908537616857415,3.146,0.337,0.376,0.337,0.322
7,3.347506858952599,3.117,0.333,0.38,0.333,0.32
8,3.3107746711726764,3.064,0.345,0.391,0.345,0.334
9,3.288415535023453,3.071,0.342,0.387,0.342,0.33
10,3.2633429362778896,3.01,0.351,0.389,0.351,0.337
11,3.2453997066559546,2.975,0.358,0.397,0.358,0.345
12,3.2300423601312303,3.014,0.352,0.399,0.352,0.339
13,3.2149310626996983,2.94,0.366,0.406,0.366,0.352
14,3.2007758485912405,2.956,0.365,0.404,0.365,0.353
15,3.189588505853269,2.996,0.357,0.403,0.357,0.344
16,3.1802981727808572,2.981,0.361,0.416,0.361,0.351
17,3.171084847932858,2.918,0.37,0.412,0.37,0.358
18,3.166439011399712,2.979,0.36,0.412,0.36,0.349
19,3.1538321966414613,2.894,0.375,0.414,0.375,0.363
20,3.1520795624672275,3.003,0.355,0.401,0.355,0.34
21,3.1426444853777795,2.935,0.369,0.412,0.369,0.358
22,3.1442056248411694,2.97,0.36,0.401,0.36,0.347
23,3.1354313261180935,2.901,0.373,0.415,0.373,0.36
24,3.1325676597930987,2.943,0.366,0.411,0.366,0.354
25,3.1272742273995946,2.909,0.374,0.419,0.374,0.362
26,3.1304629636532613,2.851,0.383,0.42,0.383,0.372
27,3.121555054553418,2.851,0.377,0.418,0.377,0.367
28,3.1141907231935626,2.901,0.372,0.42,0.372,0.361
29,3.1133927795862935,2.892,0.373,0.417,0.373,0.362
30,2.4670348607382584,2.249,0.491,0.491,0.491,0.48
31,2.3026293129196342,2.183,0.503,0.506,0.503,0.493
32,2.2371945040175247,2.131,0.515,0.52,0.515,0.507
33,2.199999477518154,2.121,0.516,0.521,0.516,0.506
34,2.1638466952051694,2.117,0.517,0.526,0.517,0.509
35,2.13800569145886,2.088,0.519,0.525,0.519,0.511
36,2.1167767346828343,2.089,0.523,0.533,0.523,0.515
37,2.0929119165323153,2.055,0.527,0.531,0.527,0.518
38,2.077141560842636,2.053,0.527,0.535,0.527,0.519
39,2.0646675332274538,2.063,0.526,0.534,0.526,0.518
40,2.049394616083566,2.059,0.527,0.54,0.527,0.52
41,2.0409734357855207,2.049,0.531,0.543,0.531,0.523
42,2.0281945471997527,2.054,0.53,0.541,0.53,0.521
43,2.0160716551978792,2.052,0.53,0.544,0.53,0.522
44,2.009656958032624,2.047,0.529,0.538,0.529,0.521
45,1.9985802989821178,2.043,0.531,0.541,0.531,0.522
46,1.98610241012457,2.03,0.533,0.544,0.533,0.525
47,1.9758885642462456,2.042,0.531,0.542,0.531,0.523
48,1.964807954293315,2.041,0.531,0.546,0.531,0.524
49,1.962545344195698,2.031,0.535,0.546,0.535,0.526
50,1.95110890369623,2.034,0.534,0.547,0.534,0.526
51,1.9420738711510996,2.031,0.535,0.548,0.535,0.527
52,1.9341435960532782,2.032,0.532,0.543,0.532,0.524
