epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score,eval_iou_score,eval_dice_score,eval_kappa_score
0,0.21333445359246392,0.211,0.484,0.037,0.071,0.041,0.025,0.041,0.034
20,0.1735277852403837,0.181,0.599,0.284,0.274,0.253,0.152,0.253,0.247
40,0.16614844562331388,0.177,0.65,0.331,0.357,0.324,0.203,0.324,0.318
60,0.16166250035548038,0.176,0.68,0.362,0.403,0.365,0.234,0.365,0.359
80,0.15908365622696638,0.175,0.7,0.384,0.434,0.392,0.257,0.392,0.387
100,0.1571710754563401,0.175,0.715,0.402,0.452,0.412,0.273,0.412,0.407
120,0.15548415347064407,0.175,0.727,0.418,0.465,0.427,0.286,0.427,0.422
140,0.1542440835603855,0.174,0.736,0.43,0.477,0.44,0.297,0.44,0.435
160,0.15306707537955125,0.174,0.744,0.442,0.485,0.45,0.306,0.45,0.446
180,0.15202521796251514,0.175,0.749,0.45,0.49,0.458,0.313,0.458,0.453
200,0.15134246671379772,0.175,0.755,0.459,0.495,0.466,0.32,0.466,0.461
220,0.15038099411032338,0.175,0.759,0.467,0.499,0.472,0.325,0.472,0.467
240,0.1500272171280157,0.175,0.763,0.474,0.502,0.477,0.331,0.477,1.384
260,0.1492244146131322,0.175,0.767,0.481,0.504,0.482,0.335,0.482,1.258
280,0.14851745107080577,0.175,0.77,0.487,0.506,0.486,0.339,0.486,1.157
300,0.14864536162805167,0.175,0.773,0.493,0.507,0.49,0.343,0.49,1.075
320,0.14810201281275573,0.175,0.776,0.498,0.508,0.494,0.346,0.494,1.009
340,0.1473573138069899,0.175,0.778,0.503,0.51,0.497,0.349,0.497,0.954
360,0.14710129322360213,0.176,0.78,0.507,0.51,0.5,0.352,0.5,0.908
380,0.14711415254060053,0.175,0.782,0.512,0.511,0.502,0.355,0.502,0.867
400,0.14680197255775532,0.175,0.784,0.516,0.512,0.505,0.357,0.505,0.834
420,0.1467410104431235,0.176,0.785,0.519,0.512,0.507,0.359,0.507,1.102
440,0.14633407366358148,0.176,0.787,0.523,0.513,0.509,0.361,0.509,1.052
460,0.1461387551337206,0.176,0.788,0.526,0.513,0.511,0.363,0.511,1.009
480,0.14636831922016222,0.175,0.79,0.529,0.514,0.513,0.365,0.513,1.707
