epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,6.226118686804465,5.155,0.061,0.057,0.061,0.042
1,4.793695031542534,3.938,0.194,0.219,0.194,0.169
2,4.018606939781724,3.302,0.282,0.319,0.282,0.263
3,3.5740697757623,2.897,0.354,0.39,0.354,0.335
4,3.2850573086478945,2.654,0.401,0.434,0.401,0.388
5,3.0881492308844267,2.509,0.426,0.463,0.426,0.411
6,2.9451268527019225,2.365,0.454,0.49,0.455,0.444
7,2.8345867198763437,2.26,0.472,0.503,0.472,0.46
8,2.7492592692530016,2.228,0.478,0.518,0.478,0.469
9,2.676034628779205,2.152,0.497,0.526,0.497,0.487
10,2.6199157113306697,2.108,0.506,0.542,0.506,0.498
11,2.5724657070435466,2.06,0.516,0.551,0.516,0.507
12,2.530855178332779,1.989,0.53,0.564,0.53,0.523
13,2.494440033071607,1.977,0.53,0.566,0.53,0.523
14,2.4642372374792343,1.969,0.535,0.568,0.535,0.527
15,2.437085828219919,1.915,0.541,0.575,0.541,0.534
16,2.4112958725854847,1.915,0.546,0.581,0.546,0.539
17,2.390058264113983,1.886,0.551,0.579,0.551,0.543
18,2.369303699973247,1.868,0.556,0.582,0.556,0.548
19,2.3525085493286526,1.853,0.558,0.588,0.558,0.552
20,2.33639956493694,1.858,0.561,0.592,0.561,0.555
21,2.32025525594689,1.819,0.567,0.596,0.567,0.56
22,2.3066168924182646,1.813,0.567,0.597,0.567,0.561
23,2.2955520132679195,1.787,0.572,0.604,0.572,0.567
24,2.2832424181159623,1.77,0.574,0.597,0.574,0.566
25,2.2741176292772165,1.764,0.579,0.605,0.579,0.574
26,2.2618566511251172,1.766,0.575,0.604,0.575,0.569
27,2.254285442887492,1.763,0.578,0.608,0.578,0.572
28,2.2431857987519255,1.733,0.582,0.61,0.582,0.575
29,2.2369415477411008,1.75,0.581,0.612,0.581,0.576
30,1.8644817362704444,1.453,0.646,0.654,0.646,0.641
31,1.7824480063503874,1.427,0.654,0.66,0.654,0.648
32,1.7460764139869829,1.404,0.656,0.662,0.656,0.651
33,1.7207127153510182,1.39,0.661,0.667,0.661,0.655
34,1.6969412350013833,1.383,0.664,0.67,0.664,0.659
35,1.6766019642966434,1.365,0.666,0.672,0.666,0.661
36,1.6609963014154647,1.358,0.669,0.674,0.669,0.664
37,1.6469709435141948,1.366,0.667,0.676,0.667,0.662
38,1.6317446490234042,1.346,0.67,0.677,0.67,0.665
39,1.620052690736563,1.35,0.67,0.679,0.67,0.666
40,1.6102865850047663,1.342,0.671,0.678,0.671,0.666
41,1.5987462606781644,1.337,0.673,0.68,0.673,0.669
42,1.5879318152099047,1.323,0.675,0.682,0.675,0.671
43,1.5805779209633857,1.333,0.676,0.683,0.676,0.671
44,1.570716577746292,1.326,0.675,0.683,0.675,0.67
45,1.5642522252610018,1.317,0.678,0.687,0.678,0.674
46,1.5537279551888408,1.317,0.679,0.686,0.679,0.674
47,1.5465209728855152,1.323,0.675,0.683,0.675,0.67
48,1.538358659448413,1.317,0.679,0.685,0.679,0.674
49,1.5317353752957845,1.314,0.677,0.685,0.677,0.673
50,1.5243758018086608,1.323,0.679,0.688,0.679,0.674
51,1.5203193063942724,1.32,0.68,0.687,0.68,0.675
52,1.5123619038582992,1.309,0.682,0.69,0.682,0.678
53,1.5087440520188515,1.302,0.679,0.688,0.679,0.675
54,1.5011845692934147,1.306,0.682,0.69,0.682,0.678
55,1.49716127246919,1.31,0.682,0.688,0.682,0.677
56,1.4908707829333527,1.304,0.684,0.692,0.684,0.679
57,1.48652033944482,1.309,0.684,0.691,0.684,0.679
58,1.4811849693149606,1.307,0.683,0.692,0.683,0.678
59,1.4757302558342291,1.31,0.681,0.69,0.681,0.677
60,1.3883669435447932,1.274,0.693,0.697,0.693,0.688
61,1.3717645418990538,1.265,0.695,0.699,0.695,0.691
62,1.3657544616136008,1.267,0.694,0.698,0.694,0.69
63,1.3623477269903097,1.266,0.695,0.699,0.695,0.691
64,1.3583581153955095,1.266,0.695,0.699,0.695,0.691
65,1.3551231085783666,1.267,0.695,0.698,0.695,0.69
66,1.3510977157358761,1.266,0.696,0.699,0.696,0.692
67,1.3493442408854412,1.272,0.695,0.698,0.695,0.691
68,1.3461488625043063,1.265,0.695,0.698,0.695,0.691
69,1.345168263259045,1.266,0.695,0.699,0.695,0.691
