epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,6.922457643621545,6.922,0.001,0.0,0.001,0.0
1,6.9090665141455565,6.903,0.001,0.0,0.001,0.0
2,6.857986082990679,6.748,0.003,0.0,0.003,0.0
3,6.777574586496651,6.504,0.007,0.0,0.007,0.001
4,6.559202245385241,6.036,0.025,0.012,0.025,0.01
5,6.317487768489394,5.732,0.046,0.036,0.046,0.027
6,6.130116215426859,5.411,0.07,0.054,0.07,0.046
7,5.993317831191513,5.172,0.09,0.082,0.09,0.064
8,5.857030328657987,4.96,0.113,0.103,0.113,0.087
9,5.745978568812355,4.8,0.133,0.126,0.133,0.105
10,5.671008643629453,4.681,0.146,0.139,0.146,0.118
11,5.595574628177593,4.564,0.158,0.146,0.158,0.129
12,5.531693654666416,4.473,0.169,0.157,0.169,0.14
13,5.4799170237508035,4.382,0.18,0.168,0.18,0.152
14,5.423697480016189,4.332,0.186,0.172,0.186,0.157
15,5.402138272956979,4.279,0.195,0.186,0.195,0.168
16,5.364528741196191,4.22,0.201,0.186,0.201,0.174
17,5.341187933080202,4.201,0.203,0.188,0.203,0.176
18,5.326703528706118,4.18,0.206,0.187,0.206,0.178
19,5.300947904729729,4.177,0.207,0.188,0.207,0.179
20,5.449801347703099,4.325,0.183,0.176,0.183,0.156
21,5.401081817577497,4.244,0.194,0.198,0.194,0.17
22,5.357299728537921,4.178,0.205,0.201,0.205,0.18
23,5.324930418523953,4.089,0.217,0.216,0.217,0.193
24,5.251218675780925,4.032,0.225,0.221,0.225,0.201
25,5.234153245564559,3.971,0.232,0.227,0.232,0.206
26,5.177264809000978,3.892,0.243,0.238,0.243,0.22
27,5.148885147355729,3.868,0.246,0.245,0.246,0.221
28,5.088245792997827,3.788,0.255,0.255,0.255,0.234
29,5.0642443355753555,3.751,0.263,0.26,0.263,0.241
30,5.012949312083441,3.679,0.27,0.272,0.27,0.249
31,4.969138342592356,3.636,0.28,0.276,0.28,0.259
32,4.9221893914168975,3.598,0.283,0.284,0.283,0.261
33,4.904187911741739,3.547,0.291,0.291,0.291,0.269
34,4.871938245080644,3.497,0.297,0.297,0.297,0.277
35,4.846144080054846,3.462,0.303,0.301,0.303,0.283
36,4.799984957781627,3.422,0.308,0.309,0.308,0.289
37,4.786045073069257,3.383,0.317,0.314,0.317,0.296
38,4.749948616115024,3.367,0.318,0.321,0.318,0.299
39,4.7214834283438805,3.331,0.324,0.324,0.324,0.306
40,4.710594091233876,3.301,0.327,0.328,0.327,0.309
41,4.681822289344218,3.278,0.33,0.327,0.33,0.311
42,4.675498433000178,3.257,0.336,0.333,0.336,0.317
43,4.663768039404346,3.246,0.337,0.334,0.337,0.317
44,4.658768379323774,3.228,0.339,0.335,0.339,0.32
45,4.616415509788824,3.21,0.341,0.338,0.341,0.323
46,4.635995376560328,3.198,0.341,0.336,0.341,0.322
47,4.608737954132849,3.196,0.345,0.339,0.345,0.326
48,4.59980597095095,3.193,0.343,0.337,0.343,0.324
49,4.598011792492238,3.191,0.345,0.34,0.345,0.326
50,4.788413443082242,3.415,0.306,0.313,0.306,0.289
51,4.823385089778786,3.413,0.312,0.322,0.312,0.294
52,4.802249194120617,3.385,0.315,0.33,0.315,0.296
53,4.76403895284918,3.342,0.317,0.33,0.317,0.3
54,4.736731028706908,3.321,0.323,0.336,0.323,0.307
55,4.714048205090942,3.273,0.332,0.342,0.332,0.314
56,4.6655027871366315,3.242,0.335,0.346,0.335,0.317
57,4.6665766184135595,3.219,0.338,0.351,0.338,0.322
58,4.62790277282254,3.174,0.346,0.354,0.346,0.329
59,4.595446624808746,3.153,0.349,0.365,0.349,0.333
60,4.578085215078841,3.117,0.357,0.367,0.357,0.34
